timestamp,FT-201,FT-801,FT-901,Mode,PT-901,PT-902,LS-901,PT-903,TT-901,TT-902,TT-903,TT-904,VSD-901_CORRENT,VSD-901_POWER,VSD-901_RPM,VSD-901_SPEED,time_diff,bucket_id
2026-03-20 03:25:00,442.8819580078125,46.16699600219727,37.6953125,8.0,-0.9448061585426331,0.001736164093017578,1,0.007696738932281733,42.4207878112793,43.96701431274414,56.91731643676758,54.36740493774414,33.73714828491211,8.165590286254883,479.150390625,40.04072570800781,0 days 00:01:00,5
2026-03-20 03:26:00,448.3072814941406,141.6259765625,35.3515625,8.0,-0.9490740895271301,0.001953125,1,0.006770816631615162,42.30685806274414,43.86393356323242,56.29340362548828,54.43793487548828,33.45064926147461,8.12814998626709,478.7841796875,39.97086715698242,0 days 00:01:00,5
2026-03-20 03:27:00,445.0954895019531,269.384765625,5.2734375,8.0,-1.01171875,0.001157402992248535,1,0.002025523921474814,42.19292831420898,43.82052993774414,56.1414909362793,54.36740493774414,27.51178741455078,6.111220359802246,480.322265625,40.08525466918945,0 days 00:01:00,5
2026-03-20 03:28:00,476.7795104980469,-17.333984375,362.5325622558594,8.0,-0.7343026399612427,0.01012730598449707,1,0.067708320915699,43.38107681274414,44.45529556274414,56.11979293823242,60.09114837646484,48.73830032348633,29.11112213134766,1199.267578125,99.98954772949219,0 days 00:01:00,5
2026-03-20 03:29:00,472.1354064941406,166.2109375,126.5625,9.0,-0.9042245149612427,0.003689289093017578,1,0.02957173995673656,44.2762565612793,44.70486068725586,61.14908981323242,61.44205856323242,41.91461944580078,24.35262489318848,1200.6591796875,100.0177536010742,0 days 00:01:00,5
2026-03-20 03:30:00,496.2673645019531,140.1123046875,682.6171875,9.0,-0.4097945690155029,0.02792251110076904,1,0.1575810611248016,45.13888931274414,45.57834243774414,62.91775131225586,62.4403190612793,51.58254623413086,31.57647705078125,1199.4140625,100.0334243774414,0 days 00:01:00,5
2026-03-20 03:31:00,452.34375,112.4267578125,298.4049377441406,9.0,-0.7158564925193787,0.01150178909301758,1,0.08223382383584976,46.72308731079102,47.20052337646484,62.1473503112793,66.44965362548828,48.73992156982422,29.28096389770508,1199.267578125,100.0090637207031,0 days 00:01:00,5
2026-03-20 03:32:00,317.6649169921875,96.77734375,150.2278594970703,8.0,-0.01229745149612427,0.03262436389923096,1,0.1879051327705383,47.18967056274414,47.78103256225586,67.529296875,66.20008850097656,40.72971725463867,18.77487373352051,884.765625,72.17890930175781,0 days 00:01:00,5
2026-03-20 03:33:00,475.1302185058594,116.3330078125,299.8697814941406,8.0,-0.7229455709457397,0.01128470897674561,1,0.08298608660697937,49.39778900146484,50.18988800048828,66.59613800048828,68.61436462402344,49.16220855712891,29.345703125,1199.70703125,99.99471282958984,0 days 00:01:00,5
2026-03-20 03:34:00,466.7100524902344,138.671875,44.140625,8.0,-1.006872057914734,0.001085042953491211,1,0.003182902932167053,50.1356315612793,50.76497268676758,69.7048568725586,69.17860412597656,32.59410095214844,18.243896484375,1199.9267578125,100.0884628295898,0 days 00:01:00,5
2026-03-20 03:35:00,389.7569274902344,273.7060546875,523.1119995117188,8.0,-0.6182002425193787,0.01569736003875732,1,0.1076967418193817,51.09049224853516,52.0399284362793,69.2654037475586,69.3142318725586,50.71685791015625,29.6511402130127,1200.0,99.99945068359375,0 days 00:01:00,5
2026-03-20 03:36:00,492.7951354980469,677.2705078125,159.7005157470703,9.0,-0.8836082220077515,0.004485011100769043,1,0.03460647165775299,52.11588287353516,52.66926956176758,70.13346099853516,70.3342056274414,42.21451950073242,25.11382675170898,1199.560546875,100.0022201538086,0 days 00:01:00,5
2026-03-20 03:37:00,480.4253234863281,227.7831878662109,257.9427185058594,9.0,-0.01446759700775146,0.03356480598449707,1,0.1829282939434052,51.63845443725586,52.46853256225586,72.12456512451172,68.97786712646484,38.62148666381836,16.64926910400391,891.650390625,68.16524505615234,0 days 00:01:00,5
